config,limit,oversampling,rescore,hnsw_ef,exact,recall,p50_ms,p95_ms,p99_ms,mean_ms,p50_min_ms,p95_min_ms,p95_max_ms,p95_spread_ms,reps
exact (ground truth),10,,,,True,1.0,9.202,10.203,14.396,9.415,8.227,8.579,12.474,3.895,5
"HNSW, no quantization",10,,,,False,0.9943,1.766,2.766,3.349,1.903,1.689,1.924,4.0,2.076,5
"HNSW, no quantization, ef=100",10,,,100,False,0.9943,1.744,2.169,3.462,1.81,1.693,1.979,2.571,0.592,5
"HNSW, no quantization, ef=128",10,,,128,False,0.9956,1.972,2.271,2.841,1.972,1.894,2.164,3.287,1.123,5
"HNSW, no quantization, ef=200",10,,,200,False,0.9976,2.423,2.817,3.397,2.425,2.395,2.783,5.029,2.247,5
"HNSW, no quantization, ef=300",10,,,300,False,0.9987,3.176,4.011,5.89,3.268,2.989,3.565,7.237,3.673,5
"HNSW, no quantization, ef=512",10,,,512,False,0.9992,4.839,7.12,10.946,5.275,4.056,4.816,8.166,3.349,5
"BQ, no rescore, oversampling 1x",10,1.0,False,,False,0.6725,0.664,0.86,1.172,0.717,0.63,0.737,1.026,0.288,5
"BQ, no rescore, oversampling 1.5x",10,1.5,False,,False,0.6725,0.636,0.75,0.932,0.666,0.622,0.716,0.81,0.095,5
"BQ, no rescore, oversampling 2x",10,2.0,False,,False,0.6725,0.638,0.756,0.891,0.651,0.617,0.685,0.807,0.121,5
"BQ, no rescore, oversampling 3x",10,3.0,False,,False,0.6725,0.64,0.695,0.77,0.651,0.613,0.669,0.909,0.241,5
"BQ, no rescore, oversampling 4x",10,4.0,False,,False,0.6725,0.623,0.68,0.753,0.638,0.613,0.657,1.74,1.083,5
"BQ, no rescore, oversampling 5x",10,5.0,False,,False,0.6725,0.632,0.775,1.45,0.676,0.615,0.669,0.982,0.313,5
"BQ, no rescore, oversampling 6x",10,6.0,False,,False,0.6725,0.631,0.729,0.83,0.644,0.615,0.677,1.195,0.517,5
"BQ, no rescore, oversampling 8x",10,8.0,False,,False,0.6725,0.661,0.851,1.13,0.703,0.62,0.701,1.243,0.542,5
"BQ, no rescore, oversampling 12x",10,12.0,False,,False,0.6732,0.659,0.745,0.857,0.682,0.627,0.684,0.922,0.238,5
"BQ, no rescore, oversampling 16x",10,16.0,False,,False,0.6736,0.655,0.768,0.987,0.687,0.644,0.727,1.072,0.344,5
"BQ, no rescore, oversampling 1x, ef=300",10,1.0,False,300,False,0.6743,0.734,0.911,1.036,0.767,0.718,0.848,1.1,0.252,5
"BQ, no rescore, oversampling 1.5x, ef=300",10,1.5,False,300,False,0.6743,0.722,0.919,1.064,0.769,0.713,0.833,1.102,0.268,5
